(GVP) Volcano number,Volcano Name,Country,Volcano Latitude,Volcano Longitude,Volcano Elevation,Volcano Type,Population VPI5,Population VPI 10,Population VPI30,Population VPI100,Island of radius <=~5 km?,Eruption Number,Eruption VEI,Eruption start year,Date of fatal incident,Year (Eruption start year if date not specified),Century,Incident number (XXXXX-X.X = eruption number-incident number.su,Incident number extension (-X.X = Incident number.Sub-incident ,Incident / sub-incident:   Fatalities separated into multiple i,Fatality information (existing fatality information from databa,Additional fatality information and notes on distance determina,Qualitative Number of fatalities,Number of fatalities,Fatal cause  ,"Victim classification:  (Emerg) = armed forces, emergency servi",Were fatalities clustered? (eg. All in one collapsed building?),Did fatality or fatal injury occur inside or outside?,Google Earth flag number (representing approximate location of ,Quality level,QL 1 distance (km),QL2 (max. km),QL2 range (km),Distance from eruptive vent if known to be different to summit,"References (new, [legacy])"
261080,Sinabung,Indonesia,3.17,98.392,2460,Stratovolcano,997,13801,163630,7646863,N,15404,2,2010,,2010,2000s,15404-1.0,1.0,One incident,Press reports of two deaths from respiratory and cardiac problems following ash eruptions on August 30.,"SI bulletin 07/2010 BGVN 35:07 ""One news report described six hours of activity on 30 August as ""... raining ash and debris across several miles and killing two villagers who suffered respiratory and cardiac problems."" Although these fatalities were commonly noted in press reports, the cause of these fatalities (and whether linked to the eruption or coincidental) remained uncertain."". This suggests fatalities occurred within several miles of the vent. Using 'several' as =5, this suggests within 8km.",,2,Tephra,,,,,QL 2,,8.0,<8,,"Global Volcanism Program, 2010. Report on Sinabung (Indonesia). In: Wunderman, R (ed.), Bulletin of the Global Volcanism Network, 35:7. Smithsonian Institution. http://dx.doi.org/10.5479/si.GVP.BGVN201007-261080.,[GVN Bull. 35:7]"
261080,Sinabung,Indonesia,3.17,98.392,2460,Stratovolcano,997,13801,163630,7646863,N,20818,2,2013,2014,2014,2000s,20818-1.0,1.0,One incident,,"SI Bulletin 01/2014, BGVN 39:01 ""On the morning of 1 February 2014 the lava dome collapsed and created one or two pyroclastic flows. As a result, 17 people (mostly students) died. All known fatalities occurred in Sukameriah village ('Ds. Suka Meriah,' figure 1). That village sits just over 3 km S of the summit"". At least 7 of the dead were students, one teacher and one journalist. ",,17,PDCs,"(tour) (media) Journalist, Students",Group,Outside,194,QL 1,3.0,,,,"Global Volcanism Program, 2014. Report on Sinabung (Indonesia). In: Wunderman, R (ed.), Bulletin of the Global Volcanism Network, 39:1. Smithsonian Institution. http://dx.doi.org/10.5479/si.GVP.BGVN201401-261080. http://www.thejakartapost.com/news/2014/02/02/14-dead-3-injured-mt-sinabung-erupts.html,[]"
261080,Sinabung,Indonesia,3.17,98.392,2460,Stratovolcano,997,13801,163630,7646863,N,20818,2,2013,2016,2016,2000s,20818-2.0,2.0,One incident,,"pyroclastic flow descended the flanks at 1648 on 21 May, killing six people and critically injuring three more. The victims were gardening in the village of Gamber, 4 km SE from the summit crater, in the restricted zone."" Global Volcanism Program, 2016. Report on Sinabung (Indonesia). In: Sennert, S K (ed.), Weekly Volcanic Activity Report, 18 May-24 May 2016. Smithsonian Institution and US Geological Survey.; ""victims were farming in the fields in Gamber"" http://www.bnpb.go.id/berita/2951/3-tewas-dan-4-kritis-terkena-awan-panas-gunung-sinabung#english""",,6,PDCs,Residents (farming),,Outside,2016,QL 1,4.0,,,,"http://www.bnpb.go.id/berita/2952/korban-awan-panas-sinabung-bertambah-menjadi-sembilan-orang#english; Global Volcanism Program, 2016. Report on Sinabung (Indonesia). In: Sennert, S K (ed.), Weekly Volcanic Activity Report, 18 May-24 May 2016. Smithsonian Institution and US Geological Survey.,[]"
261120,Sorikmarapi,Indonesia,0.686,99.539,2145,Stratovolcano,203,1469,90257,1831957,N,15410,2,1892,,1892,1800s,15410-1.0,1.0,One incident,"Deaths at Sibangor village, 7 km NNE of summit.",Sibanggor village hot springs identified by photograph on Google Earth at 4.5 km. Flag positioned beyond this based on description of being 7 km from summit.,Unknown,15,Lahars,,,,57,QL 1,7.0,,,,"CVGHM website describes deaths and lahars/avalanches,[KUSUMADINATA 1979 (27)]"
261140,Marapi,Indonesia,-0.381,100.473,2891,Complex,706,57453,818039,4059773,N,15468,2,1975,1979,1979,1900s,15468-1.0,1.0,One incident,About 300 mm of rainfall mobilized old lahar deposit and other volcanic material on N and E flanks. Landslides traveled as much as 20 km downslope and damaged 5 villages and farmland.,"SI Bulletin 05/1979, SEAN 04:05, describes landslides generated by rain interaction with old lahar deposits. Landslides ""traveled as much as 20 km downslope to ~70 m altitude... Eighty people were killed, five villages were damaged, and several acres of farmland were destroyed"".",,80,Secondary lahars,,,,,QL 2,,20.0,<20,,"Global Volcanism Program, 1979. Report on Marapi (Indonesia). In: Squires, D (ed.), Scientific Event Alert Network Bulletin, 4:5. Smithsonian Institution. http://dx.doi.org/10.5479/si.GVP.SEAN197905-261140.,[]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15914,2,1967,,1967,1900s,15914-1.0,1.0,One incident,"Pyroclastic flows swept as far as 13.5 km, but villages had been evacuated as a result of a seismic swarm, and only one fatality occurred (some sources list 3 fatalities).",Based on descirption.,,1,PDCs,,,,,QL 2,,13.5,<13.5,,"Voight,[Voight et al. (2000); VSI (1985) p 47]"
261140,Marapi,Indonesia,-0.381,100.473,2891,Complex,706,57453,818039,4059773,N,15475,2,1987,1992,1992,1900s,15475-1.0,1.0,One incident,One person was killed and 5 injured by volcanic bombs during climb to summit.,"""Bombs killed one person, seriously injured three, and caused minor injuries to two others. The victims had climbed to the summit without consultation with the Mt. Marapi Volcano Observatory or local authorities, although a hazard warning had been in effect since 1987.” (Activity bulletin 06/1992, BGVN 17:06). Described as on climb to summit so although uncertain location of fatality, the distance can be constrained based on cone size. ",,1,Ballistics,(tour) Tourists (climbers),,Outside,202,QL 2,,5.0,<5,,"Activity bulletin 06/1992, BGVN 17:06,[GVN 17:6 (1992)]"
261220,Kaba,Indonesia,-3.52,102.62,1952,Stratovolcano,278,15352,333750,2608259,N,15536,2,1833,,1833,1800s,15536-1.0,1.0,One incident,"Water ejected from crater lake.  Lahars killed 36 at Talang, 90 at Klingi and Bliti villages.",Although named villages these cannot be located and no further information can be found.,,126,Lahars,,,,,QL 3,,,,,[KUSUMADINATA 1979 (78)]
262000,Krakatau,Indonesia,-6.102,105.423,813,Caldera,7177,7177,8027,6326159,Y,15589,6,1883,,1883,1800s,15589-1.0,1.0,Multiple incidents separated due to different fatal cause,"Although all recorded deaths have commonly been attributed to the devastating tsunamis, an estimated 2,000 were killed on southern Sumatra by ""hot ashes"" and there is clear evidence that pyroclastic flows reached that far.  All 3,150 people in the path of these flows, on islands between Krakatau and Sumatra were killed; probably most by early tsunami but surely none survived the culminating eruption at 1000 on Aug 27.  Various indirect causes killed a small number elsewhere.  Unknown number of injured. 165 villages completely destroyed, 132 partly destroyed.","Pfs to 80 km max. Southern Sumatra and West Java affected. Katimbang on southern Sumatra has detailed contemporary description of pf passing through, this is shown by placemarker 200.",,2000,PDCs,,,,200,QL 2,,80.0,40-80,,"Carey et al 1996,[CIRV-79(796)]"
262000,Krakatau,Indonesia,-6.102,105.423,813,Caldera,7177,7177,8027,6326159,Y,15589,6,1883,,1883,1800s,15589-2.0,2.0,Multiple incidents separated due to different fatal cause,"Although all recorded deaths have commonly been attributed to the devastating tsunamis, an estimated 2,000 were killed on southern Sumatra by ""hot ashes"" and there is clear evidence that pyroclastic flows reached that far.  All 3,150 people in the path of these flows, on islands between Krakatau and Sumatra were killed; probably most by early tsunami but surely none survived the culminating eruption at 1000 on Aug 27.  Various indirect causes killed a small number elsewhere.  Unknown number of injured. 165 villages completely destroyed, 132 partly destroyed.","Widespread tsunami. All inhabitants of Sebesi island (~3,000, about 15km from Krakatau) were killed, most villages flooded by tsunami (though some pf deaths possible). Sebuku island between Sebesi and Sumatra (30km from Krakatau) suffered 150 fatalities, though tsunami/pf is unclear. Island of Lagoendi at 40 km from Krakatau suffered complete loss of life - tsunami and tephra deposition. (Information from Carey et al, 1996).",,36000,Tsunami,,,,201,QL 2,,40.0,15-40,,"Carey et al 1996,[CIRV-79(796)]"
262000,Krakatau,Indonesia,-6.102,105.423,813,Caldera,7177,7177,8027,6326159,Y,15617,1,1992,1993,1993,1900s,15617-1.0,1.0,One incident,One tourist killed and 5 injured by an explosion while they were climbing on the old crater rim of Anak Krakatau.,"Crater rim so distance well constrained, unknown side of crater",,1,Ballistics,(tour) Tourist,,Outside,58,QL 2,,1.0,<1,,[GVN 18:5 (1993)]
263050,Salak,Indonesia,-6.72,106.73,2211,Stratovolcano,1367,80578,2675904,38154252,N,13394,2,1938,July 2007,2007,2000s,13394-1.0,1.0,One incident,Six of 50 teenagers camping on the volcano died from suspected sulfur gas inhalation and several others were hospitalized.,Described as close to one of the craters,,6,Non-eruptive: Gas,(tour) Tourists (students),Group,Outside (camping),59,QL 2,,1.0,<1,,[GVN 32:5 (2007)]
263090,Tangkubanparahu,Indonesia,-6.77,107.6,2084,Stratovolcano,100608,518822,5729309,32855731,N,15671,2,1846,,1846,1800s,15671-1.0,1.0,One incident,"End of June, three high school boys killed by asphyxiating gas. Carbonic acid and H2S involved.",No information.,,3,Gas,(tour) School children,Group,,,QL 3,,,,,
263100,Papandayan,Indonesia,-7.32,107.73,2665,Stratovolcano(es),6835,163468,1637971,19312972,N,15685,3,1772,,1772,1700s,15685-1.0,1.0,One incident,Debris avalanche from collapse of NE part of mountain completely destroyed 40 villages.,"CVGHM do not provide information, except that destruction was to the NE. The destruction from 1772 is used to indicate the Disaster-Prone Region III, which includes the villages of kampung Pangadegan, Ciburuy, Cipaniis, Cilimus, Dungus Maung, and Cipaganti. Of these, Cilimus is located and is at about 14km from the summit. This can be used to constrain the likely destructive distance, however the precise location of fatalities is unknown. Placemarker 199 shows location of Cilimus. CVGHM reports 2951 fatalities",,2951,Avalanche,Residents,,,199,QL 3,,,,,"CVGHM,[CAVW-1(83);CIRV-79(793)]"
263100,Papandayan,Indonesia,-7.32,107.73,2665,Stratovolcano(es),6835,163468,1637971,19312972,N,15686,1,1923,,1923,1900s,15686-1.0,1.0,One incident,"Gas emission, believed to be H2S, caused suffocation of a volcanological observer. Death date from Jaggar.  ",No information to locate victim.,,1,Gas,(sci) Volcanologist,,,,QL 3,,,,,[STEHN 1926 (728)]
263130,Guntur,Indonesia,-7.143,107.84,2249,Complex,4652,218012,3412038,24486191,N,15689,3,1690,,1690,1600s,15689-1.0,1.0,One incident,Fatality details unknown.,"CVGHM describe many victims of a large eruption, but no information to locate them.",Many,100,Eruption (unknown element),,,,,QL 3,,,,,CVGHM
263130,Guntur,Indonesia,-7.143,107.84,2249,Complex,4652,218012,3412038,24486191,N,15692,Unknown,1800,,1800,1800s,15692-1.0,1.0,One incident,"The river became charged with white, acid, sulfurous mud, that poured down the valley carrying carcasses of men and sundry animals, and covered the countryside with a thick coat of mud. The same occurred with greater violence on the 12th.",No information - not on CVGHM.,Unknown,15,Lahars,,,,,QL 3,,,,,
263130,Guntur,Indonesia,-7.143,107.84,2249,Complex,4652,218012,3412038,24486191,N,15702,2,1829,,1829,1800s,15702-1.0,1.0,One incident,"Many killed, several wounded.","CVGHM describes some villages destroyed with human casualties, but no information to locate them.",Many,100,Eruption (unknown element),,,,,QL 3,,,,,CVGHM
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15916,2,1972,,1972,1900s,15916-1.0,1.0,One incident,There were 9 fatalities from lahars; 6 houses were damaged.,No information,,9,Lahars,,,,,QL 3,,,,,[Lavigne et al. (2000)]
263140,Galunggung,Indonesia,-7.25,108.058,2168,Stratovolcano,4781,66495,2382939,23897342,N,15718,5,1822,,1822,1800s,15718-1.0,1.0,One incident,"114 villages destroyed.  Katili & Sudrajat consider most of the fatalities to result from nuees ardentes, which extended 10 km.","Based on description of pfs to 10 km. Description on CVGHM says ""Hot clouds glide through the gap between Pr. Haur with Pr. Ngamplong towards Cisayong and Cidadap on the eastern slope, until Ci Tandui within 18 km from the summit"". Cisayong is about 10km from the summit. CVGHM list 4011 fatalities. ",,4011,PDCs,,,,60,QL 2,,10.0,<10,,[KATILI 1984 (17)]
263140,Galunggung,Indonesia,-7.25,108.058,2168,Stratovolcano,4781,66495,2382939,23897342,N,15721,4,1982,,1982,1900s,15721-1.0,1.0,One incident,"Death toll estimates vary from ""a few"" to 72. Washington Post reported 3 killed by falling rocks. Koesman Aboeng reported 58 deaths at Tasikmalaya due to traffic accidents, old age, infant deaths, cold, ash, and lack of food. SEAN reported total of 27 fatalities as of late May (including deaths in refugee camps). Press reports 2 fatalities April 5, 8 on April 8. 22 villages rendered uninhabitable; damage estimates exceeded 15 million dollars. Witham gives range of 23-188. Blong (Volcanic Hazards, p. 126) notes 31 malaria deaths related to the eruption.",Description of deaths due to ash in Tasikmalaya. Approximate minimum distance 15km to max 25km. ,,58,Tephra,,,,61,QL 1,17.0,,,,[SEAN BULL. 7:3-5 1982]
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15773,2,1786,,1786,1700s,15773-1.0,1.0,One incident,Ground fissuring occurred and 38 persons died from a collapse that destroyed Jampang village.,Unknown,,38,Seismicity - uncertain eruptive,,,,,QL 3,,,,,"Allard et al. Le Guern et al,[]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15774,2,1826,,1826,1800s,15774-1.0,1.0,One incident,"Fatalities ""low.""",Unknown,Unknown,15,Eruption (unknown element),,,,,QL 3,,,,,"Allard et al. Le Guern et al,[Sussman 1988 (p.c.)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15775,2,1847,,1847,1800s,15775-1.0,1.0,One incident,"Fatalities ""low."" ",Unknown,Unknown,15,Eruption (unknown element),,,,,QL 3,,,,,"Allard et al. Le Guern et al,[Sussman 1988 (p.c.)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15777,2,1928,,1928,1900s,15777-1.0,1.0,Multiple incidents separated due to different fatal cause,"One person was killed by a falling rock at Simbar, 750 m from the vent near Timbang.  Verstappen does not specify cause of death but reports 39 people killed at Butak.  The Volcanological Survey of Indonesia (VSI) plaque near Sinila crater lists 39 fatalities in 1928.",Distance from description and location based on map in Allard et al. Vent = Sinila (part of volcanic field).,,1,Ballistics,,,,63,QL 1,0.75,,,,"Allard et al. Le Guern et al,[Sussman 1988 (p.c.)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15777,2,1928,,1928,1900s,15777-2.0,2.0,Multiple incidents separated due to different fatal cause,"One person was killed by a falling rock at Simbar, 750 m from the vent near Timbang.  Verstappen does not specify cause of death but reports 39 people killed at Butak.  The Volcanological Survey of Indonesia (VSI) plaque near Sinila crater lists 39 fatalities in 1928.",Distance based on location of memorial plague at the crater. Vent = Sinila (part of volcanic field).,,39,Eruption (unknown element),,,,62,QL 3,,,,,"Allard et al. Le Guern et al,[Sussman 1988 (p.c.)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15778,1,1939,,1939,1900s,15778-1.0,1.0,One incident,Lahars destroyed 50 ha of land and steam explosions caused 10 deaths and damage.  Verstappen reports deaths were at Timbang.,Distance based on description of deaths at Timbang and map of Allard et al. (1989). Vent = Timbang (part of volcanic field).,,10,Hydrothermal,,,,64,QL 1,9.0,,,1,"Allard et al. Le Guern et al,[KUSUMADINATA 1979 (225)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15780,2,1944,,1944,1900s,15780-1.0,1.0,One incident,"VSI plaque notes 117 fatalities and 250 injuries from 1944 eruption.  Van Bemmelen lists 59 dead; 55 missing; 38 hurt.  Coarse gray-white ashes and blocks of old volcanic material rained on 7 villages evidently all within ~1 km of vent.  Blocks reached as far as Bitingan, ~1 km from vent, where 11 people were killed and 7 hurt.  Ash mud here up to 20 cm thick. At Djawera 300 m N of crater 29 were killed and 19 hurt - ash mud layer 1.5-2.0 m thick.  18 killed at Kepakisan and 1 at Pagerkandang.  Wounds caused by boiling hot mud.","Distance based on description of main occurrence of deaths, flag for one of villages mentioned. Vent = Sileri crater - part of volcanic field.",,117,"Multiple - Ballistics, Lahars",,,,66,QL 1,3.5,,,1,"Allard et al. Le Guern et al,[Sussman 1988 (p.c.)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15785,1,1964,,1964,1900s,15785-1.0,1.0,One incident,VSI plaque: 114 fatalities from this eruption.,CVGHM gives Sileri crater and 'mud' (located on map of Allard et al (1989). Uncertain location of fatalities. Vent = Sileri crater - part of volcanic field,,114,Lahars,,,,198,QL 3,,,,,"Allard et al., CVGHM,[Sussman 1988 (p.c.)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15785,1,1964,1978,1978,1900s,15785-2.0,2.0,One incident,Late 1978. SEAN report mentions geothermal well blowout.,Unknown. Part of volcanic field.,Unknown,15,Hydrothermal,,,,,QL 3,,,,,"Allard et al. Le Guern et al,[SEAN]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15786,1,1979,,1979,1900s,15786-1.0,1.0,One incident,"Inhabitants of Kaputjukan, frightened by phreatic eruptions at Sinila and Sigludung Craters, fled toward Batur along trail. 149 (variously reported as 142 to 182) later found dead on the track, seeming to be asleep, in a single file as when they were walking. Killed by emission of poisonous gases from Timbang Crater; either CO2 or CO2 and H2S (hydrogen sulfide).","Based on description and map of Allard et al and Le Guern et al. Vent = Timbang crater, part of volcanic field.",,149,Gas,,,,65,QL 1,9.0,,,1,"Allard et al. Le Guern et al,[BVE 19, 1981 (33)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,15789,1,1993,1992,1992,1900s,15789-1.0,1.0,One incident,"One person was killed and two persons hospitalized by a gas emission on March 18, 1992 not associated with an eruption.","SI Bulletin 04/1992 BGVN 17:04 ""A sudden gas emission occurred at about 1600 on 18 March from a fractured and altered zone in a river valley 200 m W of Sikidang Crater"" (04/1992). Vent = Sikidang Crater - part of volcanic field.",,1,Non-eruptive: Gas,,,,197,QL 1,3.0,,,<1,"SI bulletin,[GVN Bull. 17:4 (1992)]"
263200,Dieng Volcanic Complex,Indonesia,-7.2,109.92,2565,Complex,1092929,1092929,1886942,24381814,N,TBA,TBA,TBA,2017-07-02 00:00:00,2017,2000s,TBA-1.0,1.0,One incident,,"A rescue helicopter crashed while en route to evacuate residents of Dieng Plateau, following an eruption of the Sileri vent in which 10 people were injured. All eight on board the helicopter were killed after the aircraft hit a cliff of the Butak Mountain, just minutes before they were due to arrive. The victims were four rescuers and four naval officers, all tasked with aiding evacuation. The crash occurred in Canggal Bulu on 2 July 2017. Note that the eruption number and VEI are currently unassigned as added to fatalities database prior to inclusion in GVP.",,8,Indirect: Evacuation accident,(emerg) rescuers and military,Group,Aircraft,239,QL 1,11.0,,,,http://jakartaglobe.id/news/rescue-chopper-crashes-while-on-the-way-to-evacuate-residents-from-dieng-eruption/
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15858,3,1672,,1672,1600s,15858-1.0,1.0,One incident,"Hadikisumo, Thouret et al. give total of 3,000 fatalities, Kusumadinata 300. Only evidence of agent is that this was a major eruption producing pyroclastic flows.","Thouret and Lavigne (2005) describe the eruption with explosions, pyroclastic flows and debris flows. They state that 3000 were killed and that these were through St. Vincent style fluid scoria flows (pyroclastic flows). ",,3000,PDCs,,,,,QL 3,,,,,"Lavigne et al. 2000; Thouret and Lavigne (2005) Hazards and Risks at Gunung Merapi, Central Java: A Case Study. In The Physical Geography of Southeast Asia. ,[BV-38 SUPP.(16)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15867,3,1822,,1822,1800s,15867-1.0,1.0,One incident,"100 killed, many wounded, 4 villages completely destroyed, and 4 villages partly devastated.  Sapper gives death toll as 20 and indicates villages were on W side.  Hadikusumo gives 16 villages destroyed.","Lavigne lists lahars down Senowo (235-2), Pabalan (235-3), Lamut (235-4), Blongkeng (235-1) and Woro (235-5) valleys but not extent. Pabalan is most distal at about 5.5km but unclear where fatalities occurred.",,100,Lahars,,,,235,QL 2,,5.5,<5.5,,"Lavigne et al. 2000,[CIRV-79 (794)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15869,2,1832,,1832,1800s,15869-1.0,1.0,One incident,One village completely destroyed.,Lavigne lists lahars down Blongkeng valley and 32 fatalities.,,32,Lahars,,,,,QL 3,,,,,[Thouret et al. (2000); CIRV-79 (794)]
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15878,4,1872,,1872,1800s,15878-1.0,1.0,Multiple incidents separated due to different fatal cause,"The ejection of incandescent lapilli caused 30 fatalities and wounded many others in Selo, at the saddle between Merapi and Merbabu, burning about 50 houses.",Description of Selo.,,30,Tephra,Residents,,Inside (?- burning houses),67,QL 1,4.7,,,,"[NTNI 1934 (200, 202)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15878,4,1872,,1872,1800s,15878-2.0,2.0,Multiple incidents separated due to different fatal cause,"The paroxysmal phase April 17-20 produced many pyroclastic flows; 3 villages completely destroyed, 8 villages partly destroyed, many cattle killed.",Pfs 8-11km with 200 fatalities (Thouret et al. 2000),,200,PDCs,,,,,QL 2,,11.0,<11,,Thouret et al (2000)
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15891,2,1902,,1902,1900s,15891-1.0,1.0,One incident,"Sixteen killed, 45 injured and three small villages destroyed when pyroclastic flows swept down Woro ravine.",No information,,16,PDCs,,,,,QL 3,,,,,
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15898,2,1920,,1920,1900s,15898-1.0,1.0,One incident,"Pyroclastic surge on October 12 killed 35 persons in ravine on SW flank.  Most were immediately killed, but some sucumbed a few days later.",Distance from description of extent of pfs in Lavigne (2000),,35,PDCs,,,,,QL 2,,5.5,<5.5,,"Lavigne (2000),[NTNI 1921 (90)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15902,3,1930,,1930,1900s,15902-1.0,1.0,Multiple incidents separated due to different fatal cause,"Thirteen villages totally and 29 partially destroyed, 1,109 houses destroyed, 2,140 cattle killed.  Van Bemmelen notes that deaths were caused by nuees and the volcano observer died of burns.  Thouret et al. also note lahar fatalities.","Pfs to 10-15km (thouret) to 13km (lavigne), debris avalanches to 12 km. Thouret reports 1369 fatalities. ",,1369,"Multiple - Lahars, PDCs",(sci) Included 1 volcano observer,,,,QL 2,,15.0,<15,,"Thouret, Lavigne,[CIRV-79 (798)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15902,3,1930,,1930,1900s,15902-2.0,2.0,Multiple incidents separated due to different fatal cause,Secondary lahars caused unknown number of fatalities.,-,,15,Secondary lahars,,,,,QL 3,,,,,[Thouret et al. (2000)]
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15908,2,1953,,1953,1900s,15908-1.0,1.0,One incident,"57 wounded, 1 village totally destroyed, 2 partly destroyed, 144 houses destroyed. Pyroclastic flows reached villages of Pentjarngisor and Pentjarduwar; 30 were killed at the time of the eruption and 34 died in hospital from burns. Witham lists range of 37-68.",Unknown,,64,PDCs,,,,,QL 3,,,,,[VSI 1957 (46)]
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15913,3,1961,,1961,1900s,15913-1.0,1.0,Multiple incidents separated due to different fatal cause,"Pyroclastic flows destroyed 8 villages totally and 2 partially; six persons killed, another 6 seriously injured.",Based on description in Voight et al (2000) where pfs ultimately reached 12km and killed people returning to the forbidden zone,,6,PDCs,People re-entering (against advice) evacuated zone,,,68,QL 2,,12.0,<12,,"Voight 2000,[Voight et al. (2000); CIRV-79 (800).]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15913,3,1961,,1961,1900s,15913-2.0,2.0,Multiple incidents separated due to different fatal cause,"Secondary lahar swept through villages, killing 2 persons and injuring 5.","An eruption occurred in May 1961 and hot and cold lahars occurred in 1961, 1962 and 1963. Lahars of 27-28 November 1961 damaged 5 villages, 95 houses and 1 bridge in the Senowo, Blongkeng and Batang valleys (Suryo, 1981 in Lavigne et al, 2000). No information to assign fatalities, though likely this event.",,2,Secondary lahars,,,,,QL 3,,,,,"Lavigne et al., 2000.,[Voight et al. (2000)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15916,2,1972,,1972,1900s,15916-1.0,1.0,One incident,There were 29 fatalities from lahars in the Krasak valley on the SW flank; 306 houses were damaged.,No information,,29,Lahars,,,,,QL 3,,,,,[Lavigne et al. (2000)]
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15922,2,1992,1994,1994,1900s,15922-1.0,1.0,Multiple incidents separated due to different fatal cause,"Pyroclastic flows killed 64 villagers (and an additional 100 were hospitalized in serious condition) living or working on the southwest flank, most from the two villages of Desa Purobingangun and Desa Hargobinangun. Witham lists range of 41-66 fatalities.","Voight (2000) describes ""On the south, near
the villages of Turgo and Kaliurang (Fig. 1), nearly
100 casualties resulted from the largest of nue´es
ardentes occurring on that day""",,64,PDCs,,,,196,QL 1,6.0,,,,"Voight & Davis (2000),[Voight et al. (2000); GVN Bull. 20:10 (1995)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15922,2,1992,1997,1997,1900s,15922-2.0,2.0,Multiple incidents separated due to different fatal cause,"Six persons missing, several injured. Witham lists 1-6 fatalities and a date of November 17.","SI bulletin 06/1997 (BGVN 22:06) gives this info, but no further information to constrain distance.",6?,6,Eruption (unknown element),,,,,QL 3,,,,,"SI bulletin 06/1997 (BGVN 22:06) ,[Thouret et al. (2000)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15922,2,1992,2000,2000,2000s,15922-3.0,3.0,Multiple incidents separated due to different fatal cause,"High rainfall during the second week in November caused a landslide at the source of the Boyong River near Kaliurang, causing one death. ",Based on descirption.,,1,Avalanche,,,,69,QL 1,7.0,,,,[GVN Bull. 25:11 (2000)]
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15922,2,1992,2001,2001,2000s,15922-4.0,4.0,Multiple incidents separated due to different fatal cause,Unconfirmed reports from volcano guides encountered at Babadan Observatory stated that two tourists were killed by dome collapse phenomena in early August after walking into the S-flank danger zone.,"SI bulletin (10/2001, BGVN 26:10) describes runout to 5km.",,2,PDCs,(tour) Tourists (in danger zone),Group,,-,QL 2,,5.0,<5,,"SI bulletin,[GVN Bull. 26:10 (2001)]"
